,Unnamed: 0.1,Unnamed: 0,video_id,video_date,video_description,suggested_words,cos_score,headline,headline_type,headline_genre,transcription,transcript_cos_similarity
10,249,364,7284045695156243754,2023-09-28,with potatoes and some meat i can make a delicious dinner cooking recipe easy recipe quick recipes meat potato dinner,pupusa recipe pupusa potato recipes easy dinner recipes dinner ideas recipes ground beef recipes food recipes recipes for dinner potato pancakes,0.6915395, easy dinner recipes for right now,Dining,,"['with three potatoes and some meat, i can make a delicious dinner', ' start by cutting six large potatoes', ' transfer these diced potatoes to a large saucepan, and add one and one half teaspoon of salt with one liter of water', "" now cut one onion in half, then cut one of these halves into strips, and finally dice them, and the onions we've just chopped up"", ' then add one crushed garlic clove, add 500 grams of ground beef', ' to season it, add one and one half teaspoon of salt, add a generous pinch of black pepper', ' meanwhile, to a large bowl, add all those cooked and drained potato dices', ' also add 50 grams of unsalted butter, then add one whole egg', ' now add 160 grams of wheat flour, then get some of the potato dough and put it over the flour', ' flatten dough with the palm of your hands into a circle', "" now add two tablespoons of that meat we've set aside, then put one dumpling at a time into the skillet and fry them until golden brown"", "" and i'll also thank you for sharing this recipe"", ' see you next recipe, bye!']",0.29708217095270717
11,1322,1753,7254560407778528517,2023-07-11,margot robbie punched an actor on the barbie set barbie barbie doll barbie style barbie movie margot robbie,,0.6785604,how barbie the doll and the movie reflects our society,Letters,,"['who knew barbie had a mean right hook? margot robbie forgot to hold back when throwing a punch on the set of the barbie movie, and she accidentally made contact with the poor stuntman', ' robbie immediately went to check on the guy and help him to his feet after cut was called', ' and all seemed to be peaceful and well in barbie land', '']",0.29708217095270717
12,1357,1795,7260686171070614826,2023-07-27,part dreyas wedding is disrupted by a shocking revelation about sarah bela town drama barbie real housewives,barbie movie bela town barbie belatown edit barbie scene belatown doll drama barbie doll barbie doll movie barbie movie scenes barbie movie clips,0.67830503,how barbie the doll and the movie reflects our society,Letters,,"['if anyone in this room objects to the holy matrimony of frankie and drea, please speak now or forever hold your peace', "" melody, what are you doing here? it's my uncle's wedding"", ' what do you mean, what am i doing here? melody, you are not invited for a reason', ' you are causing a disturbance', "" now make your way- don't even try it with me right now, sarah"", "" you know damn well why i'm here"", "" and if you aren't gonna tell her, then i will"", "" melody, i swear to god, if you don't listen to your mother and get out of here right now, then what? what are you gonna do, sarah? no, really"", ' bitch, i have you pegged like a goddamn baseball', "" how can you, as a woman, stand right there next to the very woman you call your best friend and watch her happily get married to a man you know good and well you've been sleeping with? excuse me, what did you say? you heard me, right? that woman right there, sarah cunningham, my mother and your maid of honor, she had sex with your fiancé multiple times, as recent as last week"", "" sarah, is she telling the truth? listen, drea, it's not like that"", "" it's a yes or no question, sarah"", ' did you sleep with frankie? yes', ' bitch, get the fuck out', ' fake, wack, trash ass bitch', ' hey, hey, hey, get off of her', "" really, frankie? you're gonna protect her? i see how it is now"", "" baby, it's not like that at all"", ' i love you so much', "" you love me? motherfucker, you don't know what love is if this is how you treat somebody you love"", ' i took you in when you had nothing, you sorry sack of shit', ' everything you have is because of me', "" from your car, to your job, to the clothes on your back, and now you're gonna stab me in mine like this? my best friend, frankie? really, baby? listen, she came on to me"", ' oh, and you thought the appropriate response was to come inside of her? you make me sick', "" with your own brother's wife, too"", ' you disgust me in every way fathomable', "" how dare you? how dare you bring me all the way out here in front of all my friends and family to humiliate me like this? i didn't mean to humiliate you"", ' none of this was meant to happen, dre', "" i don't- oh, so what you meant to do was smile in my face and legally bind yourself to me while knowing all of the lies and deceit you close your eyes to at night? fuck you, asswipe"", ' and you, sarah? really? your own brother-in-law? my fiancé? you dirty ass ho', "" oh, so that's what you're gonna do? you're gonna call me a ho? now, yes, i am gonna call you a ho because that's what you are"", ' a good-for-nothing ass, two-faced, dirty ass ho, just like you always have been', ' i should have known what you were all about in college when you got that train ran on you by the entire soccer team, and you even tried to get the married coach in on it', "" bitch, don't be mad at me"", ' be mad at your man', "" it's not my fault he was willing to lay down and get up inside of me"", "" no, it's not"", "" but it is your fault that you decided to lie and disrespect me and ruin what was supposed to be the best day of my life, all because you couldn't keep your homewrecking ass away from mine"", '']",0.29708217095270717
13,713,1000,7295177616124939552,2023-10-28,rest in piece matthew friends chandler chandler friends matthew perry,,0.6757215,matthew perry star of friends is dead at ,Obits,,"['oh, um, that was my bathing suit from high school', ' i was a little bigger then', "" oh, i thought that's what they used to cover connecticut when it rained"", "" hey, anybody know a good tailor? you need some clothes altered? no, no, i'm just looking for a man to draw on me with chalk"", "" why don't you go see frankie? my family's been going to him forever"", ' he did my first suit when i was 15', ' no, wait', ' 16', ' no, excuse me', ' 15', "" alright, when was 1990? okay, you have to stop the q-tip when there's resistance"", "" condoms? hey, you don't know how long we're going to be in here"", ' we may have to repopulate the earth', ' and condoms are the way to do that', "" we'll flip for it"", "" ducks or clowns? oh, we're going to flip for the baby? you got a better idea? alright, call it in here"", ' heads', ' heads it is', ' yes! we have to assign heads to something', ' right, okay, okay', ' ducks is heads because ducks have heads', ' what kind of scary-ass clowns came to your birthday? hold on', "" there's something different"", ' i went to that tanning place your wife suggested', ' was that place the sun? hey, how cool would it be if you could watch like a real life-size version of this, huh? i mean, how crazy would that be? as crazy as soccer? some girl ate monica', ' shut up', ' the camera adds 10 pounds', ' uh, so how many cameras are actually on you? oh, sorry', "" did i get you? no, you didn't get me"", "" it's an electric drill"", ' you get me, you kill me', ' hi', ' hi', "" what's wrong, buddy? someone at work ate my sandwich"", "" well, what did the police say? sup? sup, dude? you can make whatever you want, just please don't hurt me"", "" so you play a little playstation, huh? that's whack"", ' playstation is whack', ' sup with the whack playstation sup? huh? come on, am i 19 or what? yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19', ' come on, man, really? how old? young', "" you're a man-child, okay? now go get changed because everybody's ready and please, oh please, keep my underwear"", ' oh, thanks', ' okay', "" why is your family scottish? why is your family ross? what happened? oh, man, he promised he wouldn't take the chairs"", "" what the hell happened? how were you locked in and where the hell is all of our stuff? well, this guy came by to look at the unit and he said he didn't think it was big enough to fit a grown man"", ' so you got in voluntarily? i was trying to make a sale', "" oh, man, if i ever run into that guy again, you know what i'm going to do? bend over? would you like some gum? oh, is it sugarless? sorry, it's not"", ' oh, then no thanks', ' what the hell was that? mental note, if jill goodacre offers you gum, you take it', ' if she offers you mangled animal carcass, you take it', ' i mean, just now, just now, there was some woman at the coffee house smiled at me', ' and then the other day on the subway, a woman accidentally sat on my hand', "" dude, don't rub my face in your crazy single life"", "" and then how about this? there's an anthropologist at school who totally came on to me during the interdepartmental potluck dinner"", "" why did i get married? and it's a book"", "" oh, it's dr"", ' seuss', ' that book got me through some tough times', ' there is a little child inside this man', "" yes, the doctors say if they remove it, he'll die"", ' okay', ' but no accountants', ' oh, and no one from, like, legal', "" i don't like guys with boring jobs"", ' oh, and ross was like what, a lion tamer? oh, my god, what happened? oh, um, joey was born', ' and then 28 years later, i was robbed', "" oh, you're the day"", ' you know, this is actually good, because if we ever lose ross, we have a spare', "" i don't want to be single, okay? i just, i just, i just want to be married again"", ' and i just want a million dollars', "" how's the moving on going? not well"", ' i went on the subway again, and someone did sit on my hand, but that person was neither female nor wearing pants', "" well, maybe you're going about this the wrong way"", ' you know, i mean, think about it', ' white male, divorced three times, two illegitimate children', ' the personal ad writes itself', "" that's funny"", "" so do you think you'll ever work again? what are you doing? you know i can only dish it out"", "" i can't believe rachel just moved on and didn't say anything to me"", "" look, maybe she didn't move on, you know? maybe that kiss was just an impulsive one-time birthday thing"", ' about a month ago, she gave her number to some guy in a bar', ' did she go out with him? no', ' when he called, i threw the message away', ' ah, the high road', ' all right, you know what? enough', ' enough talking', ' i have to get moving', ' hey, check out those two blondes over there', ' hey, come with me', "" are you trying to get everybody divorced? you don't have to do anything"", "" it'll just be easier if it's the two of us, like college"", "" remember? first you break the ice with some kind of a joke so they know you're the funny one"", "" then i swoop in with some interesting conversation so they'll see that i'm the brilliant, brooding, sexy one"", ' i thought i got to make the jokes', '']",0.29708217095270717
14,1302,1838,7304653738533375278,2023-11-23,dancing turkey happy thanksgiving thanksgiving dancing turkey fy p,,0.67254853,get ahead on thanksgiving with this makeahead turkey,Dining,,['you'],0.29708217095270717
15,6,9,7288466308860038443,2023-10-10,i love mac and cheese cooking,,0.6700271,you wont find a richer crispier creamier cheesier mac and cheese recipe,Dining,,"['시청해 주셔서 감사합니다', '']",0.29708217095270717
16,270,382,7302461048261512494,2023-11-17,save this for the best black friday sales black friday black friday sale holiday shopping black friday deals skims abercrombie zara fall fashion trends thanksgiving saving money,,0.66962165,black friday travel sales are here and deals abound,Travel,,['🎶 music outro 🎶'],0.29708217095270717
17,619,870,7295189360838806826,2023-10-28,friends mathew perry friends mathew perry sad c his me time news,matthew perry matt leblanc reaction to matthew perry jennifer aniston reaction to mathew perry matthew perry death chandler bing matt le blanc on matthew perry matthew perry funeral who is matthew perry jennifer aniston talking about matthew perry friends reunion,0.66430736,matthew perry star of friends is dead at ,Obits,,,
18,871,1416,7309965221039361326,2023-12-07,the iof and israeli government have grown so desperate that they are arresting palestinian civilians and pretending like they captured h what theyre doing is inhumane and disgusting we need to continue calling our reps and demanding a ceasefire gaza palestine free palestine,,0.66275793,us urges israel to do more to spare civilians in gaza and pushes hostage talks,Foreign,,"['israel is trying to convince people that the men they arrested stripped and abused in northern gaza are hamas fighters who surrendered but as montez posted to his stories, these are civilians', ' they are not hamas they have nothing to do with hamas and there are people speaking out saying that some of them are their family members for example, this is hani and madhoun if you go to his instagram and click on the stories he tells you exactly who from his family were arrested', "" he writes this is the part of gaza where my family has been sheltering my brother mahmoud my nephew i booed the one in the white circle and my nephew omar who is 12 years old have all been abducted and taken hostages by the israeli military to an unknown location i also shared that this israeli site down below shared the picture of his nephew and dad's cousin with captions that they are hamas operatives surrendering i am related to half these hostages you see in the israeli army truck and have absolutely zero connection to hamas nor did they surrender to anyone posted my brother mahmoud can be seen in this idf released video he is a shopkeeper and a dad and has a seizure and it's blistering cold you also have this map who posted this photo and circled the man above me saying he's a journalist a correspondent for a lot of be as you deed newspaper"", "" it's very clear they have not found any command centers in a chippa hospital because we would have seen that by now and this is screaming desperation but this is inhumane and downright disgusting we need to continue to call our reps and demand a ceasefire because enough is enough""]",0.29708217095270717
19,999,1373,7290289523269963038,2023-10-15,haunted house,,0.6610421,ghost stories,BookReview,,"[""you make it look like it's magic i see nobody, nobody but you i'm never confused hey, hey i'm so used to being used so i run when you call, i'm infected cause i hate when the world takes my time so i'mma care for you, you, you i'mma care for you, you, you, you yeah cause girl, you're perfect you're always worth it and you deserve it the way you work it cause girl, you earned it girl, you earned it""]",0.29708217095270717
20,869,1414,7306292395342171423,2023-11-27,netanyahu screaming into his pillow rn free palestine free gaza,,0.6558888,israel raises alarms by suggesting indefinite role in gaza,Foreign,,"[""y'all did you see a released israeli hostage wrote hamas a thank-you note? they postured it's so over for israel y'all they're not coming back from this this is there's no way to salvage it like they're giving released israeli hostages hush orders, so they don't say shit like this and they're ignoring them that if the circumstances weren't already so devastating this would be fucking hilarious""]",0.29708217095270717
21,360,518,7327742048801525035,2024-01-24,kim kardashian just dropped skk n kim kardashian makeup beauty,kim kardashian makeup kim kardashian kim kardashian meme kim kardashian lip liner makeup by mario palette skkn by kim kim kardashian makayla impression skkn by kim review makeup by mario skkn by kim makeup,0.6558418,kim kardashian cozies up to balenciaga,Styles,,"[""kim kardashian dropped this absolutely stunning sexy makeup line anyways, i'm just kidding don't make me relive that this is the new skin by kim drop we have lipsticks lip liners and an eyeshadow palette as someone who loves kkw beauty i was ecstatic when she announced this however when the actual product assortment got revealed i got a little nervous because a lot of this looks really warm toned, and i'm cool neutral so hopefully i find something that works for me"", "" let's start with the eyeshadow palette this is my like actual first impression of this"", "" i have not actually seen this yet okay, i mean, it's it's exactly what it says classic mattes"", "" these are classic matte colors now listen listen, i'll always tell you okay"", ' kim kardashian is literally my idol', ' okay, ask my parents', ' i grew up idolizing her i love it', "" i still do but i have to tell you i think this palette looks cheap as fuck i mean the materials it's colour-pop level"", "" okay, the this should not be $50 100% this should not be $50 and i understand that she's trying to like keep the vibe of the luxe skin line but like if you're gonna do that make the palette a little nicer that's just my opinion aside from that from what i've heard the eyeshadow quality is exceptional so let's do a look"", "" i'm always gonna use an eye base"", "" i'm first dipping into this cool tone brown i like how the palette has a mix of warm and cool so far"", "" it's buildable and it blends very easily i also really appreciate that she put a black in the palette the black is super pigmented the eyeshadows are lightly pressed in the pan"", ' so you get quite a bit of kickback with all the colors', ' i am gonna add some black liner underneath going for like biker chick smoky black liner listen, it is a good palette', ' the eyeshadow quality is really good', "" do i think you need it? no, i think if you have makeup by mario patrick todd natasha denona any of those hood of beauty like you're good it's a pretty eye look though"", "" let's try the lips go to pack two""]",0.30605808617840013
22,573,814,7287637795525512494,2023-10-08,he is not a jackolantern lewis not a jack o lantern my name is lewis target halloween lewis target,,0.6550149,a jackolantern by any other name lewis is defining halloween,Express,,"[""it's a night that we're all supposed to be in"", ' happy halloween', ' trick or treat', "" it's a night that we're all supposed to be in"", ' happy halloween', ' trick or treat', ' trick or treat', ' trick or treat', ' trick or treat', '']",0.30605808617840013
23,366,504,7302607700666502442,2023-11-17,colin jost and michael che swap jokes part snl weekend update comedy funny,,0.6512679,snl mocks george santos and welcomes a sassy panda,Culture,,"[""and the idea, michael, isn't to try to sabotage each other"", "" it's just to give each other fun jokes"", ' -""uh-huh', '"" -""why?"" -""why don\'t you go first?"" -""okay', '"" -""yeah', '"" -""a student in texas who is nicknamed white lightning set a high school record by running the 100-meter dash in 9', '98 seconds', ' coincidentally, people call me white lightning because i also finish in under 10 seconds', '"" -♪♪ doctors in iowa have confirmed a dog disease that can be passed on to humans', "" fine, i'll wear a condom"", ' -♪♪ hmm', ' oh, wow', ' hmm', ' okay', ' a new report finds that as people move into formerly wild areas of africa, human activity is disrupting chimpanzee culture', ' incidentally, chimpanzee culture is also what my grandpa calls hip-hop', ' why? -♪♪ whoa', "" i wouldn't have said that"", "" pope francis ended a vatican summit by promising the catholic church would confront the clergy's sex abuse head-on instead of their usual way, face-down, ass-up"", ' what? -♪♪ okay', "" that's not a"", '', '', ' come on', ' i know', ' i think this', '', '', "" it's the gravity"", ' this will be good', ' yeah, sure', ' a substitute teacher in north carolina has resigned after she reportedly told a class of elementary students that martin luther king jr', ' killed himself', ' in her defense, he is the one who decided to keep running his mouth', "" why?! oh! oh! you're gonna get me murdered"", '']",0.30605808617840013
24,477,664,7328998941511404843,2024-01-27,i miss my mutual guys free bela town nicki minaj bela town megan the e stallion,belatown belatown nicki minaj nickiminaj megan thee stallion belatown julia fox hiss megan thee stallion belatown trans nicki minaj meghan trainor theestallion nicki minaj verse,0.6510119,megan thee stallion and nicki minaj whos mad at whom,Styles,,,
25,848,1187,7273655048163593518,2023-08-31,my low patience gets the best of me rel a table barbie s preminger barbie preminger preminger tok memes funny real edit viral reality barbie movies barbie preminger barbie memes,preminger preminger memes its a temporary setback martin short preminger preminger how can i refuse preminger barbie preminger barbie memes barbie barbie doll barbie scene,0.64660025,the toughest barbie critics are barbie collectors,Culture,,"[""and who is the owner? silencio! no! i won't let go! this peasant's son won't turn and run because the reckless royal chose another foe! ah"", '', '', "" it's"", '', '', ' a', '']",0.30605808617840013
